Title,Author,Year,Genre,Price,Rating
The Great Gatsby,Harper Lee,1828,Mystery,14.09,2.9
Moby-Dick,Margaret Atwood,1903,Romance,18.11,2.5
To Kill a Mockingbird,F. Scott Fitzgerald,1921,Fiction,16.65,4.8
Pride and Prejudice,Jane Austen,1970,Mystery,11.26,2.4
The Catcher in the Rye,J.D. Salinger,1807,Romance,13.82,2.6
Animal Farm,George Orwell,1839,Political,11.2,3.8
Moby-Dick,Aldous Huxley,1909,Dystopian,18.68,4.9
Brave New World,Jane Austen,2014,Fantasy,13.14,4.1
Moby-Dick,J.R.R. Tolkien,1904,Sci-Fi,19.68,1.6
Animal Farm,J.D. Salinger,1972,Historical,19.67,2.8
The Catcher in the Rye,George Orwell,1853,Non-Fiction,5.38,2.2
Brave New World,Leo Tolstoy,1956,Historical,10.79,4.2
Brave New World,Harper Lee,1875,Romance,11.04,2.8
War and Peace,George Orwell,1898,Fiction,11.4,2.1
1984,Harper Lee,1973,Political,18.73,3.6
Brave New World,J.R.R. Tolkien,1921,Mystery,5.47,4.8
Pride and Prejudice,F. Scott Fitzgerald,1904,Romance,7.84,1.6
The Great Gatsby,Leo Tolstoy,1801,Political,14.67,3.7
The Great Gatsby,Jane Austen,1977,Dystopian,16.53,3.5
1984,Harper Lee,1917,Sci-Fi,16.73,4.0
Animal Farm,F. Scott Fitzgerald,1820,Mystery,8.54,3.6
Animal Farm,Herman Melville,1951,Adventure,18.44,4.9
To Kill a Mockingbird,George Orwell,1920,Adventure,17.95,1.7
Animal Farm,Jane Austen,1942,Political,10.55,1.7
The Hobbit,Leo Tolstoy,1895,Sci-Fi,8.51,1.0
Pride and Prejudice,Aldous Huxley,1988,Fiction,18.34,4.2
Brave New World,Harper Lee,1841,Fantasy,11.35,2.4
The Hobbit,Margaret Atwood,1875,Adventure,8.23,4.7
War and Peace,J.D. Salinger,1921,Historical,12.82,4.7
To Kill a Mockingbird,F. Scott Fitzgerald,1993,Political,16.45,4.1
To Kill a Mockingbird,J.R.R. Tolkien,1806,Mystery,9.07,2.7
Moby-Dick,J.D. Salinger,1868,Sci-Fi,10.34,2.5
Moby-Dick,Herman Melville,1928,Non-Fiction,7.67,3.9
War and Peace,Leo Tolstoy,1826,Fiction,16.86,2.5
Animal Farm,J.D. Salinger,1946,Sci-Fi,10.96,1.4
Brave New World,Harper Lee,1847,Political,6.61,3.8
Animal Farm,Jane Austen,1802,Sci-Fi,6.22,3.2
Moby-Dick,Herman Melville,1824,Fiction,12.46,5.0
Moby-Dick,Margaret Atwood,1903,Political,6.81,1.1
The Hobbit,George Orwell,1987,Fantasy,10.16,3.7
War and Peace,Leo Tolstoy,1962,Sci-Fi,16.73,2.9
The Catcher in the Rye,J.R.R. Tolkien,1900,Adventure,16.24,2.0
1984,J.D. Salinger,1852,Political,5.91,1.6
The Hobbit,J.R.R. Tolkien,1803,Fantasy,10.23,3.5
To Kill a Mockingbird,F. Scott Fitzgerald,1911,Fantasy,18.41,4.1
To Kill a Mockingbird,Margaret Atwood,1945,Historical,7.98,2.2
War and Peace,Jane Austen,1859,Non-Fiction,5.48,2.1
The Hobbit,Leo Tolstoy,1948,Sci-Fi,14.8,1.1
The Hobbit,Jane Austen,1852,Fantasy,12.16,1.9
War and Peace,Jane Austen,1988,Political,18.26,1.5
Pride and Prejudice,J.R.R. Tolkien,2010,Adventure,14.18,3.3
The Great Gatsby,Margaret Atwood,1965,Adventure,11.74,1.8
Brave New World,Aldous Huxley,1882,Romance,18.82,3.1
Animal Farm,J.D. Salinger,1861,Political,15.56,3.6
Animal Farm,Margaret Atwood,1978,Non-Fiction,6.48,2.2
War and Peace,J.R.R. Tolkien,1925,Historical,11.25,3.6
1984,George Orwell,1803,Historical,13.67,3.6
Animal Farm,Jane Austen,1881,Adventure,11.75,3.3
Brave New World,F. Scott Fitzgerald,1891,Political,8.58,2.3
The Catcher in the Rye,Leo Tolstoy,1945,Romance,5.92,2.7
Brave New World,F. Scott Fitzgerald,1881,Fantasy,13.49,4.1
Pride and Prejudice,George Orwell,1926,Political,18.97,3.6
Brave New World,George Orwell,2002,Non-Fiction,13.57,3.1
War and Peace,Harper Lee,1935,Mystery,6.28,2.2
Brave New World,Harper Lee,2000,Romance,19.31,2.0
The Catcher in the Rye,Jane Austen,1858,Dystopian,12.54,4.2
To Kill a Mockingbird,Herman Melville,1987,Adventure,19.33,3.0
Moby-Dick,Jane Austen,2013,Fiction,10.44,4.8
Brave New World,Herman Melville,1904,Fiction,8.01,4.6
Moby-Dick,Aldous Huxley,1873,Sci-Fi,5.37,4.4
The Hobbit,Aldous Huxley,1932,Non-Fiction,6.85,4.9
Moby-Dick,J.R.R. Tolkien,1904,Mystery,15.65,1.3
Brave New World,Jane Austen,1809,Non-Fiction,15.91,3.0
Pride and Prejudice,F. Scott Fitzgerald,1910,Fantasy,11.58,1.3
The Hobbit,Herman Melville,1911,Fantasy,6.34,3.4
The Hobbit,J.D. Salinger,1926,Non-Fiction,10.66,2.7
Moby-Dick,Margaret Atwood,2012,Historical,18.57,3.1
Pride and Prejudice,F. Scott Fitzgerald,1808,Non-Fiction,19.08,4.1
To Kill a Mockingbird,George Orwell,1975,Political,12.41,3.6
The Great Gatsby,Jane Austen,1966,Romance,14.08,4.5
Brave New World,J.D. Salinger,1934,Romance,17.61,4.4
War and Peace,J.D. Salinger,1979,Romance,5.02,5.0
The Hobbit,J.D. Salinger,1823,Historical,18.21,1.3
To Kill a Mockingbird,Leo Tolstoy,1895,Mystery,17.88,1.8
The Catcher in the Rye,J.R.R. Tolkien,1830,Fantasy,11.91,2.5
Animal Farm,Leo Tolstoy,1927,Mystery,18.81,4.4
Pride and Prejudice,Margaret Atwood,1931,Sci-Fi,18.02,4.9
Pride and Prejudice,Margaret Atwood,1916,Political,18.85,4.0
War and Peace,F. Scott Fitzgerald,1826,Fantasy,11.52,1.7
The Catcher in the Rye,Margaret Atwood,1953,Fiction,16.54,4.0
The Catcher in the Rye,Harper Lee,1944,Sci-Fi,8.59,4.9
Pride and Prejudice,Aldous Huxley,1931,Fiction,11.41,3.0
War and Peace,Leo Tolstoy,1815,Romance,13.02,1.3
Moby-Dick,F. Scott Fitzgerald,2019,Fiction,16.53,1.9
The Hobbit,Leo Tolstoy,1823,Adventure,19.66,4.8
Brave New World,Herman Melville,1847,Historical,17.65,1.5
Pride and Prejudice,George Orwell,1959,Mystery,5.59,1.7
Animal Farm,Harper Lee,1889,Mystery,10.61,4.5
To Kill a Mockingbird,Harper Lee,2003,Non-Fiction,5.05,1.8
The Great Gatsby,Aldous Huxley,1985,Fiction,10.88,3.3
The Hobbit,George Orwell,1930,Non-Fiction,8.55,4.3
To Kill a Mockingbird,Leo Tolstoy,1840,Adventure,15.72,4.4
The Hobbit,George Orwell,1994,Sci-Fi,7.9,3.7
The Great Gatsby,George Orwell,1934,Political,10.4,1.4
Pride and Prejudice,J.D. Salinger,1880,Fantasy,19.84,4.3
To Kill a Mockingbird,F. Scott Fitzgerald,1946,Non-Fiction,13.74,3.9
1984,Herman Melville,1807,Adventure,17.98,3.2
To Kill a Mockingbird,Aldous Huxley,1947,Adventure,6.68,1.5
To Kill a Mockingbird,Jane Austen,1991,Fiction,17.49,2.7
Pride and Prejudice,J.D. Salinger,1887,Sci-Fi,18.94,4.6
The Hobbit,J.D. Salinger,1877,Dystopian,11.13,4.3
To Kill a Mockingbird,Aldous Huxley,1849,Romance,12.72,2.8
1984,Aldous Huxley,2019,Fantasy,5.86,2.1
Moby-Dick,Aldous Huxley,1949,Historical,14.42,1.4
Pride and Prejudice,F. Scott Fitzgerald,1967,Mystery,17.8,4.0
War and Peace,Jane Austen,1984,Sci-Fi,14.43,4.4
War and Peace,Harper Lee,1824,Adventure,13.33,3.9
1984,Margaret Atwood,2001,Dystopian,19.35,2.5
Moby-Dick,F. Scott Fitzgerald,1833,Non-Fiction,16.87,4.7
1984,George Orwell,1886,Adventure,13.91,4.3
To Kill a Mockingbird,Jane Austen,1959,Political,19.92,2.3
Animal Farm,Harper Lee,2007,Sci-Fi,19.69,2.1
The Hobbit,Herman Melville,1870,Mystery,6.79,2.1
Pride and Prejudice,George Orwell,2005,Fiction,14.82,1.2
The Hobbit,Herman Melville,1999,Political,13.6,4.9
The Catcher in the Rye,George Orwell,1921,Non-Fiction,12.58,2.8
To Kill a Mockingbird,J.D. Salinger,1898,Romance,6.22,1.1
The Hobbit,J.R.R. Tolkien,1806,Fiction,7.4,2.4
Animal Farm,Jane Austen,1814,Fantasy,6.46,3.8
The Catcher in the Rye,Harper Lee,1941,Fantasy,15.35,3.4
The Hobbit,J.R.R. Tolkien,1828,Sci-Fi,5.91,1.6
To Kill a Mockingbird,F. Scott Fitzgerald,1986,Dystopian,8.07,3.9
The Catcher in the Rye,George Orwell,1947,Historical,14.6,1.7
To Kill a Mockingbird,Margaret Atwood,1978,Historical,27.69,1.2
1984,Ernest Hemingway,1978,Adventure,17.98,4.0
Ulysses,Stephen King,2003,Thriller,19.09,2.4
Ulysses,Ernest Hemingway,1994,Mystery,20.82,4.4
War and Peace,Margaret Atwood,1963,Horror,12.54,1.1
1984,Ernest Hemingway,1955,Horror,24.35,1.0
War and Peace,J.K. Rowling,2006,Sci-Fi,5.54,4.2
Ulysses,George Orwell,1966,Sci-Fi,29.82,3.2
The Great Gatsby,J.K. Rowling,1971,Fantasy,20.42,2.0
Hamlet,George Orwell,1975,Drama,20.39,4.3
Brave New World,Margaret Atwood,1974,Adventure,27.27,4.1
The Odyssey,George Orwell,1983,Thriller,12.07,3.0
Hamlet,Agatha Christie,1959,Sci-Fi,5.18,2.0
Hamlet,F. Scott Fitzgerald,2018,Romance,23.74,1.3
The Odyssey,J.R.R. Tolkien,1959,Historical,14.14,3.9
The Odyssey,Margaret Atwood,1982,Mystery,7.74,2.0
War and Peace,Ernest Hemingway,2023,Historical,24.91,3.9
The Odyssey,Mark Twain,1956,Romance,13.52,5.0
Hamlet,Jane Austen,1953,Thriller,6.12,3.5
Brave New World,F. Scott Fitzgerald,1987,Drama,16.52,2.1
Moby Dick,Mark Twain,2019,Romance,11.96,2.5
Moby Dick,Margaret Atwood,2022,Horror,20.85,1.4
Pride and Prejudice,J.K. Rowling,1955,Sci-Fi,23.28,1.9
Moby Dick,J.R.R. Tolkien,2014,Non-Fiction,25.61,3.5
Ulysses,Ernest Hemingway,1950,Sci-Fi,20.98,2.7
Hamlet,Margaret Atwood,1988,Horror,5.77,2.0
To Kill a Mockingbird,Jane Austen,1986,Romance,18.55,2.3
The Odyssey,Agatha Christie,1964,Non-Fiction,29.3,3.7
Ulysses,Stephen King,1971,Drama,23.54,4.6
Brave New World,George Orwell,2005,Non-Fiction,29.7,3.0
Pride and Prejudice,J.R.R. Tolkien,2003,Non-Fiction,12.87,3.0
Ulysses,Jane Austen,2009,Historical,24.04,2.9
Hamlet,F. Scott Fitzgerald,1957,Non-Fiction,24.82,2.5
1984,J.R.R. Tolkien,2015,Adventure,9.42,4.8
Brave New World,Mark Twain,2010,Mystery,6.41,4.2
The Odyssey,Jane Austen,1955,Fantasy,10.76,1.5
Brave New World,Jane Austen,1977,Romance,22.36,3.4
To Kill a Mockingbird,Stephen King,1995,Horror,26.66,1.3
1984,Ernest Hemingway,1996,Sci-Fi,29.87,2.2
The Great Gatsby,Mark Twain,1959,Fantasy,8.11,2.1
Moby Dick,Agatha Christie,2005,Historical,27.94,4.1
The Odyssey,Agatha Christie,1981,Drama,7.5,2.9
To Kill a Mockingbird,Ernest Hemingway,1998,Historical,16.31,1.7
The Odyssey,F. Scott Fitzgerald,2007,Fantasy,13.49,3.4
Moby Dick,Margaret Atwood,2004,Thriller,5.53,4.3
The Great Gatsby,J.K. Rowling,1983,Sci-Fi,26.78,3.9
Brave New World,Jane Austen,2018,Sci-Fi,18.85,4.4
Pride and Prejudice,George Orwell,1953,Horror,11.34,4.4
The Great Gatsby,F. Scott Fitzgerald,1971,Romance,11.52,1.2
Moby Dick,Ernest Hemingway,1956,Horror,16.72,1.1
Moby Dick,Stephen King,2023,Romance,11.26,4.2
Hamlet,J.R.R. Tolkien,2002,Fantasy,21.37,1.8
War and Peace,Stephen King,1998,Fantasy,10.23,4.6
Ulysses,Stephen King,1989,Mystery,27.07,2.3
Brave New World,J.R.R. Tolkien,1984,Sci-Fi,7.42,2.9
The Odyssey,George Orwell,1975,Non-Fiction,22.83,2.5
War and Peace,J.R.R. Tolkien,2018,Fantasy,20.52,4.1
Ulysses,George Orwell,2006,Horror,22.2,3.2
The Great Gatsby,F. Scott Fitzgerald,2011,Fantasy,10.32,3.0
War and Peace,Agatha Christie,1954,Non-Fiction,28.99,4.5
Moby Dick,J.R.R. Tolkien,1993,Adventure,16.47,2.6
The Odyssey,Stephen King,1986,Non-Fiction,21.67,4.5
Brave New World,J.K. Rowling,1981,Fantasy,15.94,4.4
Hamlet,Stephen King,1975,Historical,27.03,4.8
The Great Gatsby,Margaret Atwood,2001,Historical,14.89,2.6
Brave New World,Jane Austen,1954,Historical,9.82,3.5
Pride and Prejudice,F. Scott Fitzgerald,1967,Sci-Fi,5.58,1.7
The Odyssey,J.K. Rowling,1952,Adventure,22.71,4.3
The Odyssey,F. Scott Fitzgerald,2003,Drama,12.47,1.0
The Great Gatsby,Margaret Atwood,2002,Thriller,5.97,2.5
Pride and Prejudice,J.K. Rowling,1991,Mystery,9.63,4.5
Moby Dick,J.R.R. Tolkien,1998,Non-Fiction,16.18,3.0
Brave New World,Agatha Christie,1956,Drama,23.32,4.8
Moby Dick,Mark Twain,1974,Historical,9.92,1.4
Ulysses,Mark Twain,1952,Historical,7.71,3.4
Ulysses,Agatha Christie,1967,Fantasy,24.03,2.9
1984,Margaret Atwood,2013,Non-Fiction,25.59,4.3
War and Peace,F. Scott Fitzgerald,1957,Adventure,13.96,2.7
The Great Gatsby,F. Scott Fitzgerald,1997,Non-Fiction,11.02,4.2
Moby Dick,Mark Twain,1952,Adventure,11.1,2.0
Ulysses,Mark Twain,2016,Horror,19.82,3.9
Hamlet,Jane Austen,1972,Historical,7.43,3.6
Brave New World,Ernest Hemingway,2016,Mystery,6.69,4.9
Moby Dick,J.R.R. Tolkien,1980,Fantasy,22.81,3.4
To Kill a Mockingbird,J.R.R. Tolkien,1971,Adventure,17.24,3.2
To Kill a Mockingbird,Stephen King,2014,Adventure,12.18,1.6
Hamlet,Jane Austen,1962,Drama,7.31,1.0
To Kill a Mockingbird,J.R.R. Tolkien,2005,Drama,26.31,5.0
Moby Dick,Ernest Hemingway,1953,Historical,16.24,2.3
Hamlet,Ernest Hemingway,2011,Adventure,17.25,5.0
Pride and Prejudice,George Orwell,2001,Thriller,26.12,2.8
The Odyssey,J.R.R. Tolkien,2006,Thriller,17.69,1.1
Hamlet,J.K. Rowling,1979,Non-Fiction,22.47,3.1
The Odyssey,Ernest Hemingway,2018,Horror,13.36,2.3
The Great Gatsby,George Orwell,2009,Thriller,24.53,2.6
To Kill a Mockingbird,Ernest Hemingway,1989,Thriller,15.12,1.6
The Great Gatsby,Ernest Hemingway,2008,Horror,8.99,1.0
Moby Dick,Jane Austen,2000,Fantasy,20.92,1.5
The Odyssey,J.K. Rowling,1981,Sci-Fi,13.82,2.2
1984,Ernest Hemingway,2019,Horror,11.22,3.9
The Odyssey,Jane Austen,1987,Romance,24.09,3.7
The Odyssey,Jane Austen,1988,Historical,10.17,3.1
Pride and Prejudice,Jane Austen,1962,Fantasy,23.2,2.0
To Kill a Mockingbird,Ernest Hemingway,1988,Drama,18.79,2.7
Brave New World,Jane Austen,1975,Mystery,18.19,4.6
Moby Dick,George Orwell,2014,Horror,24.91,2.0
Brave New World,Jane Austen,1969,Mystery,27.23,2.1
1984,Ernest Hemingway,1952,Mystery,23.61,1.3
Moby Dick,George Orwell,1973,Adventure,14.84,2.2
To Kill a Mockingbird,Margaret Atwood,1979,Romance,9.69,2.2
Moby Dick,Jane Austen,1993,Romance,25.56,1.1
War and Peace,Margaret Atwood,1968,Horror,19.33,4.1
Hamlet,F. Scott Fitzgerald,2017,Historical,11.63,3.7
War and Peace,Jane Austen,1971,Fantasy,27.14,1.5
The Odyssey,Agatha Christie,1956,Romance,11.72,4.9
The Odyssey,Stephen King,2004,Adventure,8.51,4.3
1984,Jane Austen,2021,Thriller,25.31,4.9
Brave New World,Agatha Christie,2014,Mystery,13.4,1.6
To Kill a Mockingbird,Margaret Atwood,2018,Historical,21.27,4.4
1984,George Orwell,1956,Mystery,16.68,3.9
1984,J.R.R. Tolkien,1999,Mystery,25.01,3.4
The Odyssey,J.R.R. Tolkien,2004,Horror,21.86,4.9
To Kill a Mockingbird,Jane Austen,2021,Historical,17.4,3.4
Pride and Prejudice,Agatha Christie,1984,Adventure,20.24,3.6
The Odyssey,Jane Austen,1959,Horror,21.02,1.5
1984,George Orwell,2002,Thriller,19.83,2.8
To Kill a Mockingbird,F. Scott Fitzgerald,1972,Romance,22.66,1.1
To Kill a Mockingbird,Jane Austen,1954,Non-Fiction,17.88,2.1
The Great Gatsby,Agatha Christie,1957,Thriller,14.15,3.2
War and Peace,Mark Twain,2008,Historical,10.25,2.9
Brave New World,Stephen King,1996,Adventure,29.35,2.0
Brave New World,F. Scott Fitzgerald,2015,Mystery,17.24,4.9
The Odyssey,Ernest Hemingway,2002,Non-Fiction,20.55,4.2
1984,Mark Twain,1991,Fantasy,21.23,5.0
Moby Dick,Margaret Atwood,1990,Drama,7.51,1.5
War and Peace,Margaret Atwood,2014,Thriller,19.1,4.0
To Kill a Mockingbird,Agatha Christie,1997,Horror,9.99,1.1
Ulysses,Agatha Christie,2017,Horror,12.58,2.9
Pride and Prejudice,Stephen King,1986,Sci-Fi,22.15,3.0
Ulysses,Mark Twain,1971,Historical,28.95,4.4
Ulysses,Stephen King,1962,Non-Fiction,24.75,2.2
1984,Mark Twain,1951,Fantasy,18.72,4.6
War and Peace,Stephen King,2015,Fantasy,24.76,1.0
Hamlet,F. Scott Fitzgerald,1993,Mystery,8.57,4.2
The Odyssey,Stephen King,1955,Fantasy,23.32,1.9
The Odyssey,J.R.R. Tolkien,1955,Mystery,28.95,4.1
1984,Margaret Atwood,1964,Mystery,5.67,4.7
Pride and Prejudice,Stephen King,1966,Historical,25.67,3.5
Moby Dick,Ernest Hemingway,1989,Fantasy,7.74,2.6
The Great Gatsby,J.K. Rowling,1988,Horror,18.78,2.3
Ulysses,Stephen King,1999,Romance,20.07,2.3
Brave New World,Agatha Christie,2001,Non-Fiction,9.5,2.2
War and Peace,F. Scott Fitzgerald,1993,Sci-Fi,9.62,1.6
Pride and Prejudice,Ernest Hemingway,2014,Drama,16.33,4.0
Ulysses,Jane Austen,1962,Mystery,25.2,4.9
1984,F. Scott Fitzgerald,1987,Non-Fiction,9.26,3.0
The Odyssey,Ernest Hemingway,1974,Thriller,13.58,4.7
To Kill a Mockingbird,J.R.R. Tolkien,1995,Drama,15.09,2.3
The Odyssey,Agatha Christie,1974,Historical,25.46,3.0
Moby Dick,Ernest Hemingway,1989,Drama,9.79,3.1
Pride and Prejudice,F. Scott Fitzgerald,1959,Fantasy,11.41,1.9
Ulysses,Agatha Christie,2019,Mystery,19.17,2.4
The Odyssey,F. Scott Fitzgerald,1994,Mystery,20.96,3.7
Ulysses,F. Scott Fitzgerald,1960,Drama,24.46,2.0
Ulysses,Stephen King,1973,Thriller,8.32,1.2
War and Peace,Jane Austen,1952,Sci-Fi,11.1,2.7
The Great Gatsby,J.K. Rowling,1951,Adventure,10.46,3.4
To Kill a Mockingbird,Jane Austen,2010,Thriller,6.08,2.7
Pride and Prejudice,J.R.R. Tolkien,1962,Sci-Fi,14.17,3.3
Moby Dick,J.K. Rowling,1991,Adventure,19.58,2.9
Ulysses,J.K. Rowling,1994,Adventure,15.31,2.8
To Kill a Mockingbird,George Orwell,2016,Romance,24.66,4.6
Pride and Prejudice,George Orwell,1973,Fantasy,19.81,4.3
To Kill a Mockingbird,Margaret Atwood,1955,Thriller,11.55,2.5
Brave New World,George Orwell,1973,Sci-Fi,18.48,3.2
Ulysses,J.R.R. Tolkien,2023,Historical,6.38,3.8
Hamlet,Agatha Christie,1970,Fantasy,26.88,4.9
Ulysses,George Orwell,1953,Mystery,21.27,1.4
The Great Gatsby,George Orwell,2008,Romance,26.5,1.1
The Great Gatsby,J.R.R. Tolkien,1962,Fantasy,23.25,4.8
To Kill a Mockingbird,F. Scott Fitzgerald,1977,Horror,23.3,1.7
To Kill a Mockingbird,Mark Twain,1968,Thriller,14.24,1.5
To Kill a Mockingbird,J.R.R. Tolkien,1964,Fantasy,17.26,4.7
War and Peace,Agatha Christie,1957,Fantasy,23.25,1.9
Brave New World,Margaret Atwood,1963,Thriller,25.32,4.4
War and Peace,Agatha Christie,1982,Fantasy,13.64,2.6
War and Peace,Stephen King,2006,Drama,27.01,1.2
Ulysses,Jane Austen,1966,Drama,8.58,1.3
Pride and Prejudice,F. Scott Fitzgerald,1978,Adventure,9.59,1.3
Pride and Prejudice,Ernest Hemingway,1971,Drama,11.36,5.0
1984,Stephen King,2022,Fantasy,16.7,4.4
Hamlet,Stephen King,1973,Horror,22.23,3.8
The Great Gatsby,Margaret Atwood,1976,Adventure,28.02,4.8
1984,Agatha Christie,1971,Non-Fiction,13.77,1.5
Ulysses,Margaret Atwood,2015,Non-Fiction,12.55,1.8
To Kill a Mockingbird,George Orwell,1990,Romance,10.33,4.5
Moby Dick,J.K. Rowling,1950,Horror,29.32,4.8
To Kill a Mockingbird,Margaret Atwood,1959,Thriller,18.26,4.6
War and Peace,Stephen King,1961,Sci-Fi,24.91,2.8
1984,Ernest Hemingway,1997,Adventure,22.01,3.3
1984,Margaret Atwood,2014,Fantasy,13.59,3.2
Pride and Prejudice,J.K. Rowling,2021,Mystery,21.64,2.9
War and Peace,Mark Twain,1986,Drama,18.62,2.7
Pride and Prejudice,Ernest Hemingway,2020,Historical,10.76,1.3
To Kill a Mockingbird,J.K. Rowling,1953,Adventure,12.5,4.3
Brave New World,Jane Austen,2005,Non-Fiction,29.02,1.7
To Kill a Mockingbird,F. Scott Fitzgerald,2000,Mystery,29.87,3.5
Ulysses,J.R.R. Tolkien,1955,Adventure,17.48,3.7
Hamlet,Mark Twain,1979,Horror,20.72,3.4
Moby Dick,George Orwell,1991,Mystery,22.6,2.5
War and Peace,Stephen King,1992,Fantasy,19.94,3.6
The Odyssey,Ernest Hemingway,2018,Thriller,6.9,3.1
Hamlet,J.K. Rowling,2001,Mystery,12.38,1.1
Ulysses,F. Scott Fitzgerald,1980,Adventure,23.36,2.7
Ulysses,Ernest Hemingway,1975,Non-Fiction,27.82,2.1
The Great Gatsby,Margaret Atwood,1955,Romance,24.51,3.9
Pride and Prejudice,Ernest Hemingway,1978,Non-Fiction,24.05,3.3
Pride and Prejudice,F. Scott Fitzgerald,1989,Thriller,10.55,4.2
Moby Dick,J.R.R. Tolkien,1954,Mystery,27.73,1.3
To Kill a Mockingbird,J.K. Rowling,1999,Non-Fiction,13.6,2.7
Pride and Prejudice,George Orwell,1952,Romance,12.32,1.1
War and Peace,George Orwell,1977,Mystery,14.27,2.1
The Odyssey,F. Scott Fitzgerald,1974,Adventure,17.74,4.9
Pride and Prejudice,J.R.R. Tolkien,2015,Mystery,19.46,1.1
Moby Dick,J.K. Rowling,2009,Romance,7.53,3.4
Hamlet,Stephen King,1983,Non-Fiction,6.04,4.3
The Odyssey,Agatha Christie,1991,Thriller,18.63,3.0
Ulysses,Margaret Atwood,2011,Historical,17.54,1.4
The Great Gatsby,J.R.R. Tolkien,2011,Adventure,6.5,4.6
Ulysses,J.R.R. Tolkien,1975,Historical,21.53,3.6
1984,Agatha Christie,1995,Historical,18.35,3.5
War and Peace,Ernest Hemingway,2019,Fantasy,10.41,1.2
The Great Gatsby,Ernest Hemingway,1991,Mystery,12.27,4.7
To Kill a Mockingbird,Ernest Hemingway,1956,Romance,7.41,4.0
The Great Gatsby,J.K. Rowling,1998,Thriller,29.14,3.0
Brave New World,George Orwell,2003,Horror,13.0,2.4
Brave New World,J.R.R. Tolkien,1958,Adventure,17.7,2.4
Brave New World,Agatha Christie,1996,Historical,8.3,3.1
The Great Gatsby,Jane Austen,1997,Romance,8.49,1.9
1984,George Orwell,1951,Sci-Fi,23.14,1.6
Moby Dick,Stephen King,1966,Adventure,14.5,2.0
Brave New World,Stephen King,1996,Thriller,15.49,3.4
Hamlet,Stephen King,2019,Historical,17.86,2.0
Ulysses,Ernest Hemingway,1958,Drama,16.14,4.4
The Odyssey,Ernest Hemingway,1960,Sci-Fi,26.76,1.3
Ulysses,J.K. Rowling,2018,Fantasy,10.77,1.9
War and Peace,Agatha Christie,1960,Adventure,25.24,1.9
To Kill a Mockingbird,J.R.R. Tolkien,2008,Sci-Fi,17.58,2.9
Pride and Prejudice,Agatha Christie,2007,Mystery,25.4,1.9
Hamlet,Ernest Hemingway,2022,Sci-Fi,15.85,1.3
Hamlet,Ernest Hemingway,1986,Drama,29.57,3.1
1984,Agatha Christie,1973,Drama,6.89,2.1
The Odyssey,J.R.R. Tolkien,1952,Romance,8.95,1.4
Brave New World,George Orwell,2018,Romance,23.67,2.7
1984,J.R.R. Tolkien,2022,Horror,5.43,1.7
Hamlet,J.K. Rowling,2007,Mystery,11.45,3.5
The Great Gatsby,Margaret Atwood,1987,Fantasy,25.7,4.7
The Great Gatsby,Jane Austen,2003,Drama,11.42,4.9
Brave New World,J.R.R. Tolkien,2015,Historical,5.22,3.3
Pride and Prejudice,F. Scott Fitzgerald,1979,Fantasy,23.27,2.9
Pride and Prejudice,Ernest Hemingway,1982,Horror,21.78,2.7
Brave New World,Ernest Hemingway,1973,Horror,26.12,2.8
Ulysses,J.K. Rowling,1995,Thriller,11.31,1.4
Ulysses,Jane Austen,1974,Thriller,23.12,1.2
Hamlet,Ernest Hemingway,1966,Romance,13.87,4.3
Moby Dick,Agatha Christie,1954,Fantasy,7.81,4.8
Pride and Prejudice,J.K. Rowling,2007,Mystery,5.27,4.3
Ulysses,George Orwell,1961,Historical,13.7,3.0
The Great Gatsby,F. Scott Fitzgerald,1967,Adventure,18.43,1.0
Moby Dick,F. Scott Fitzgerald,2013,Fantasy,12.35,3.9
To Kill a Mockingbird,F. Scott Fitzgerald,2017,Fantasy,12.82,1.3
1984,J.K. Rowling,1963,Non-Fiction,10.07,2.4
1984,Jane Austen,1958,Horror,23.73,3.0
Moby Dick,Margaret Atwood,2014,Drama,5.05,1.5
Ulysses,F. Scott Fitzgerald,1992,Adventure,11.76,4.2
War and Peace,J.R.R. Tolkien,1979,Adventure,17.16,1.3
To Kill a Mockingbird,J.R.R. Tolkien,2011,Non-Fiction,20.74,2.4
Ulysses,George Orwell,1974,Historical,27.02,2.7
Ulysses,Margaret Atwood,2015,Drama,6.89,3.5
Pride and Prejudice,J.R.R. Tolkien,2006,Sci-Fi,16.04,1.7
To Kill a Mockingbird,Agatha Christie,1988,Mystery,23.75,3.4
To Kill a Mockingbird,Margaret Atwood,1956,Romance,17.34,2.9
Pride and Prejudice,Ernest Hemingway,1960,Sci-Fi,5.06,1.6
War and Peace,Mark Twain,1988,Adventure,12.34,3.6
Moby Dick,Mark Twain,1998,Thriller,8.18,3.8
Pride and Prejudice,Ernest Hemingway,2007,Mystery,7.01,2.5
War and Peace,F. Scott Fitzgerald,1990,Mystery,15.51,3.7
To Kill a Mockingbird,George Orwell,1962,Romance,9.15,2.4
To Kill a Mockingbird,Ernest Hemingway,1953,Drama,13.77,4.2
The Odyssey,J.K. Rowling,1987,Non-Fiction,19.66,1.4
Moby Dick,F. Scott Fitzgerald,1993,Horror,26.14,3.1
1984,Stephen King,1996,Fantasy,6.7,3.4
Ulysses,F. Scott Fitzgerald,1968,Sci-Fi,11.63,1.1
